Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 32, 16, 8, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-677.2048957570628;0.016;99.2
10;-677.2048957570628;0.016;99.2
15;-673.7391601042632;0.012;99.4
20;-686.2158084543422;0.018;99.1
25;-690.3746912377019;0.03;98.5
30;-662.6488060153039;0.028;98.6
35;-676.5117486265028;0.008;99.6
40;-669.5802773209034;0.018;99.1
45;-687.602102715462;0.022;98.9
50;-673.0460129737032;0.016;99.2
55;-668.8871301903434;0.022;98.9
60;-672.3528658431433;0.014;99.3
65;-688.988396976582;0.044;97.8
70;-676.5117486265028;0.008;99.6
75;-669.5802773209034;0.018;99.1
80;-695.9198682821816;0.04;98.0
85;-677.2048957570628;0.016;99.2
90;-687.602102715462;0.016;99.2
95;-681.3637785404226;0.01;99.5
100;-684.1363670626624;0.006;99.7
105;-684.8295141932224;0.014;99.3
110;-688.988396976582;0.02;99.0
115;-667.5008359292235;0.03;98.5
120;-670.2734244514634;0.02;99.0
125;-678.5911900181827;0.008;99.6
130;-688.295249846022;0.018;99.1
135;-673.7391601042632;0.018;99.1
140;-688.295249846022;0.018;99.1
145;-689.6815441071419;0.022;98.9
150;-686.2158084543423;0.024;98.8
155;-681.3637785404226;0.016;99.2
160;-675.818601495943;0.012;99.4
165;-673.0460129737032;0.016;99.2
170;-681.3637785404226;0.01;99.5
175;-675.818601495943;0.012;99.4
180;-668.1939830597835;0.02;99.0
185;-675.818601495943;0.012;99.4
190;-672.3528658431433;0.014;99.3
195;-665.4213945375437;0.024;98.8
200;-665.4213945375437;0.024;98.8
205;-683.4432199321025;0.01;99.5
210;-662.6488060153039;0.028;98.6
215;-697.9993096738613;0.046;97.7
220;-670.9665715820233;0.016;99.2
225;-670.9665715820233;0.016;99.2
230;-681.3637785404226;0.01;99.5
235;-677.8980428876228;0.018;99.1
240;-677.8980428876228;0.006;99.7
245;-683.4432199321025;0.01;99.5
250;-677.2048957570628;0.016;99.2
255;-671.6597187125833;0.018;99.1
260;-672.3528658431433;0.014;99.3
265;-681.3637785404226;0.01;99.5
270;-685.5226613237822;0.01;99.5
275;-680.6706314098626;0.008;99.6
280;-686.2158084543423;0.024;98.8
285;-682.0569256709825;0.012;99.4
290;-683.4432199321025;0.01;99.5
295;-679.2843371487427;0.004;99.8
300;-677.2048957570628;0.016;99.2
