Train dataset: data/regression/data.cube.train.100.csv
Test dataset: data/regression/data.cube.test.100.csv
Layers: [1, 2, 1] with biases
Seed: 12020122
Epochs	Loss
2	577.2712987683907
4	140.75602426392265
6	39.13729402887345
8	10.003567562712668
10	2.195520276218646
12	0.41259479382995534
14	0.06895929349857727
16	0.010765180361511337
18	0.0016297362016274492
20	0.0002443665571861618
22	3.6634875484504224e-05
24	5.509738311740137e-06
26	8.318671009105545e-07
28	1.2604916227150582e-07
30	1.915777891784823e-08
32	2.9189180439399713e-09
34	4.456110771586318e-10
36	6.813547029568321e-11
38	1.043123932108606e-11
40	1.598585819927837e-12
42	2.4518222849737445e-13
44	3.7629536096234626e-14
46	5.7783456216105555e-15
48	8.877112015495258e-16
50	1.3642706627760919e-16
52	2.0973148869925696e-17
54	3.2250738263146697e-18
56	4.960337622703937e-19
58	7.630695835066622e-20
60	1.1740501426246825e-20
62	1.806629161380208e-21
64	2.780373465315625e-22
66	4.2793931925815104e-23
68	6.587193790275123e-24
70	1.0140351555701364e-24
72	1.5611180989806842e-25
74	2.4035055699059505e-26
76	3.700650621670125e-27
78	5.698125175913813e-28
80	8.774139911988333e-29
82	1.3511196621470837e-29
84	2.080645223420118e-30
86	3.2041711205239376e-31
88	4.934526546334111e-32
90	7.599521138705612e-33
92	1.1704069200931107e-33
94	1.8025882438834023e-34
96	2.776287092388695e-35
98	4.276019479011515e-36
100	6.586000966999054e-37
