Train dataset: data/classification/data.simple.train.100.csv
Test dataset: data/classification/data.simple.test.100.csv
Layers: [2, 2]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-63.76955071151458;0.08;96.0
10;-63.76955071151458;0.08;96.0
15;-63.07640358095463;0.06;97.0
20;-64.46269784207453;0.1;95.0
25;-63.76955071151458;0.14;93.0
30;-65.84899210319443;0.02;99.0
35;-65.84899210319443;0.02;99.0
40;-63.76955071151458;0.08;96.0
45;-64.46269784207453;0.04;98.0
50;-63.07640358095463;0.06;97.0
55;-63.07640358095463;0.12;94.0
60;-65.84899210319443;0.02;99.0
65;-63.07640358095463;0.06;97.0
70;-63.76955071151458;0.08;96.0
75;-65.84899210319443;0.02;99.0
80;-63.76955071151458;0.14;93.0
85;-65.15584497263448;0.18;91.0
90;-63.07640358095463;0.06;97.0
95;-65.84899210319443;0.02;99.0
100;-63.76955071151458;0.14;93.0
105;-63.76955071151458;0.14;93.0
110;-67.92843349487427;0.08;96.0
115;-65.15584497263448;0.0;100.0
120;-63.76955071151458;0.14;93.0
125;-65.15584497263448;0.0;100.0
130;-64.46269784207453;0.1;95.0
135;-65.15584497263448;0.18;91.0
140;-63.76955071151458;0.08;96.0
145;-65.15584497263448;0.0;100.0
150;-63.07640358095463;0.12;94.0
155;-65.84899210319443;0.02;99.0
160;-63.07640358095463;0.06;97.0
165;-63.76955071151458;0.14;93.0
170;-65.15584497263448;0.0;100.0
175;-65.84899210319443;0.02;99.0
180;-63.07640358095463;0.06;97.0
185;-68.62158062543423;0.1;95.0
190;-65.15584497263448;0.18;91.0
195;-63.07640358095463;0.06;97.0
200;-63.07640358095463;0.06;97.0
205;-65.84899210319443;0.02;99.0
210;-65.84899210319443;0.02;99.0
215;-63.07640358095463;0.06;97.0
220;-63.76955071151458;0.08;96.0
225;-65.15584497263448;0.0;100.0
230;-65.84899210319443;0.02;99.0
235;-65.15584497263448;0.18;91.0
240;-65.84899210319443;0.02;99.0
245;-65.15584497263448;0.0;100.0
250;-65.84899210319443;0.02;99.0
255;-65.84899210319443;0.02;99.0
260;-65.84899210319443;0.02;99.0
265;-65.84899210319443;0.02;99.0
270;-64.46269784207453;0.04;98.0
275;-65.15584497263448;0.0;100.0
280;-63.07640358095463;0.06;97.0
285;-65.84899210319443;0.02;99.0
290;-65.84899210319443;0.02;99.0
295;-63.07640358095463;0.06;97.0
300;-65.15584497263448;0.0;100.0
