Train dataset: data/classification/data.simple.train.1000.csv
Test dataset: data/classification/data.simple.test.1000.csv
Layers: [2, 8, 4, 2, 2]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-669.5802773209034;0.018;99.1
10;-718.7937235906597;0.106;94.69999999999999
15;-623.8325667039467;0.138;93.10000000000001
20;-752.0647858575373;0.202;89.9
25;-705.6239281100208;0.068;96.6
30;-594.7203872204288;0.126;93.7
35;-722.9526063740195;0.118;94.1
40;-643.2406863596252;0.056;97.2
45;-709.7828108933804;0.08;96.0
50;-672.3528658431431;0.044;97.8
55;-564.2219134757911;0.17;91.5
60;-746.5196088130577;0.186;90.7
65;-751.3716387269774;0.2;90.0
70;-582.2437388703498;0.156;92.2
75;-683.4432199321024;0.04;98.0
80;-690.3746912377018;0.09;95.5
85;-534.4165868617132;0.216;89.2
90;-792.2673194300144;0.318;84.1
95;-639.0818035762655;0.062;96.89999999999999
100;-638.3886564457057;0.066;96.7
105;-684.8295141932224;0.068;96.6
110;-749.9853444658575;0.208;89.60000000000001
115;-741.6675788991381;0.184;90.8
120;-712.5553994156203;0.088;95.6
125;-747.2127559436176;0.188;90.60000000000001
130;-729.8840776796189;0.174;91.3
135;-695.2267211516214;0.092;95.39999999999999
140;-654.3310404485844;0.04;98.0
145;-751.3716387269774;0.2;90.0
150;-634.9229207929059;0.086;95.7
155;-641.1612449679455;0.086;95.7
160;-705.6239281100208;0.116;94.19999999999999
165;-695.2267211516216;0.062;96.89999999999999
170;-743.747020290818;0.178;91.10000000000001
175;-575.3122675647503;0.154;92.30000000000001
180;-788.1084366466547;0.306;84.7
185;-672.3528658431433;0.014;99.3
190;-614.8216540066675;0.112;94.39999999999999
195;-533.7234397311533;0.214;89.3
200;-707.7033695017005;0.08;96.0
205;-760.3825514242567;0.226;88.7
210;-601.6518585260283;0.116;94.19999999999999
215;-732.6566662018588;0.146;92.7
220;-627.9914494873065;0.078;96.1
225;-644.6269806207451;0.054;97.3
230;-657.7967761013842;0.05;97.5
235;-535.1097339922733;0.212;89.4
240;-572.5396790425104;0.158;92.10000000000001
245;-748.5990502047375;0.192;90.4
250;-646.706422012425;0.084;95.8
255;-681.3637785404226;0.07;96.5
260;-579.4711503481099;0.148;92.60000000000001
265;-606.503888439948;0.13;93.5
270;-623.8325667039467;0.084;95.8
275;-590.5615044370691;0.132;93.4
280;-675.125454365383;0.076;96.2
285;-750.6784915964174;0.198;90.10000000000001
290;-517.0879085977145;0.238;88.1
295;-664.0351002764238;0.026;98.7
300;-571.1533847813905;0.16;92.0
